,mixed,background,foreground,count
"(0, 0, 0, 216, 216, 216)",[255 255 255],[220 220 220],[290. 290. 290.],4
"(232, 0, 0, 224, 0, 0)",[232 255 255],[224 254 255],[240. 256. 255.],5
"(0, 248, 248, 248, 248, 248)",[255 252 248],[250 251 247],[260. 253. 249.],6
"(240, 248, 0, 240, 248, 248)",[238 251 253],[238 250 250],[238. 252. 256.],2
"(224, 248, 240, 232, 0, 248)",[228 251 243],[230 253 249],[738. 761. 749.],1
"(240, 0, 0, 224, 248, 248)",[240 253 255],[227 251 251],[253. 255. 259.],1
"(232, 0, 248, 224, 248, 248)",[235 253 252],[226 252 252],[244. 254. 252.],6
"(232, 0, 248, 232, 0, 240)",[233 255 248],[230 255 244],[236. 255. 252.],2
"(232, 0, 240, 232, 0, 240)",[229 253 243],[230 255 244],[740. 763. 754.],2
"(232, 0, 0, 232, 248, 0)",[235 255 253],[233 250 253],[237. 260. 253.],1
"(232, 0, 248, 232, 0, 248)",[233 255 252],[233 255 251],[233. 255. 253.],13
"(248, 0, 0, 224, 0, 248)",[246 254 255],[225 254 251],[267. 254. 259.],1
"(240, 0, 0, 224, 0, 248)",[239 255 255],[225 254 251],[253. 256. 259.],2
"(232, 0, 248, 224, 0, 248)",[233 254 251],[221 254 250],[245. 254. 252.],1
"(224, 240, 240, 232, 0, 0)",[227 244 241],[231 253 255],[735. 747. 739.],1
"(216, 240, 232, 232, 0, 0)",[214 237 232],[231 253 255],[709. 733. 721.],1
"(248, 0, 0, 232, 0, 0)",[250 255 255],[236 254 253],[264. 256. 257.],5
"(248, 0, 0, 232, 248, 248)",[250 255 255],[236 250 249],[264. 260. 261.],1
"(240, 0, 248, 232, 0, 248)",[238 255 252],[235 255 252],[241. 255. 252.],1
"(248, 0, 0, 224, 248, 240)",[250 255 255],[223 246 241],[277. 264. 269.],1
"(240, 248, 0, 208, 240, 232)",[242 252 255],[211 239 233],[273. 265. 277.],1
"(232, 248, 0, 208, 240, 232)",[236 252 255],[211 239 233],[261. 265. 277.],1
"(0, 248, 0, 0, 248, 0)",[253 252 255],[253 249 255],[253. 255. 255.],3
"(240, 0, 248, 216, 248, 240)",[240 255 249],[214 245 238],[266. 265. 260.],1
"(232, 0, 248, 232, 248, 248)",[235 255 252],[230 250 251],[240. 260. 253.],1
"(232, 248, 248, 216, 248, 240)",[233 250 247],[214 245 238],[252. 255. 256.],1
"(240, 0, 248, 208, 224, 224)",[242 255 250],[205 227 225],[279. 283. 275.],1
"(240, 0, 0, 224, 248, 0)",[237 255 254],[226 251 253],[248. 259. 255.],1
"(0, 0, 0, 240, 248, 240)",[254 254 254],[244 249 240],[264. 259. 268.],5
"(0, 248, 0, 0, 0, 0)",[254 247 254],[255 255 255],[765. 751. 765.],41
"(0, 0, 0, 0, 240, 240)",[253 253 255],[253 244 241],[253. 262. 269.],1
"(240, 0, 0, 224, 0, 0)",[241 255 254],[225 253 253],[257. 257. 255.],1
"(248, 0, 248, 232, 0, 248)",[248 255 252],[234 255 252],[262. 255. 252.],2
"(248, 240, 240, 0, 0, 0)",[249 244 243],[254 254 254],[756. 746. 744.],1
"(240, 0, 0, 232, 0, 0)",[242 254 255],[236 253 255],[248. 255. 255.],1
"(232, 248, 248, 232, 248, 0)",[232 250 249],[234 251 254],[742. 761. 756.],1
"(0, 0, 0, 0, 248, 248)",[255 255 255],[253 248 245],[257. 262. 265.],21
"(232, 0, 0, 216, 0, 0)",[235 255 253],[220 255 253],[250. 255. 253.],1
"(0, 0, 248, 0, 248, 248)",[255 255 251],[255 251 250],[255. 259. 252.],2
"(248, 0, 0, 216, 0, 248)",[245 254 255],[215 254 252],[275. 254. 258.],1
"(240, 248, 0, 232, 248, 0)",[240 252 254],[234 252 253],[246. 252. 255.],1
"(248, 0, 0, 232, 248, 0)",[245 254 255],[236 251 254],[254. 257. 256.],1
"(240, 248, 0, 232, 248, 248)",[240 252 254],[231 249 250],[249. 255. 258.],1
"(240, 248, 0, 248, 0, 0)",[242 248 253],[245 254 255],[751. 754. 763.],1
"(248, 248, 0, 240, 248, 248)",[251 251 255],[240 246 251],[262. 256. 259.],2
"(240, 0, 0, 232, 0, 248)",[239 254 255],[230 253 249],[248. 255. 261.],4
"(232, 248, 240, 232, 0, 0)",[231 252 244],[236 254 253],[738. 762. 747.],1
"(232, 248, 0, 232, 248, 248)",[233 250 253],[232 250 249],[234. 250. 257.],1
"(232, 248, 248, 240, 0, 248)",[235 252 248],[243 255 249],[739. 761. 759.],1
"(240, 0, 0, 240, 0, 248)",[242 255 255],[237 253 252],[247. 257. 258.],2
"(232, 0, 248, 200, 224, 232)",[231 254 250],[198 228 229],[264. 280. 271.],1
"(240, 0, 248, 240, 0, 0)",[238 254 247],[242 255 255],[746. 765. 751.],1
"(232, 0, 0, 200, 240, 240)",[230 254 254],[200 238 238],[260. 270. 270.],1
"(240, 232, 240, 248, 248, 248)",[239 235 240],[250 250 250],[740. 732. 742.],2
"(248, 240, 240, 248, 248, 248)",[247 240 237],[250 250 250],[756. 742. 736.],2
"(248, 248, 0, 0, 248, 0)",[247 250 254],[255 251 255],[751. 761. 765.],4
"(0, 248, 0, 248, 248, 0)",[255 250 255],[252 250 255],[258. 250. 255.],2
"(0, 248, 0, 248, 232, 240)",[255 252 255],[250 234 241],[260. 270. 269.],1
"(0, 0, 0, 0, 248, 240)",[255 255 255],[253 250 242],[257. 260. 268.],1
"(0, 0, 248, 240, 248, 240)",[255 255 248],[240 247 244],[270. 263. 252.],1
"(248, 0, 0, 240, 0, 248)",[251 255 255],[241 255 252],[261. 255. 258.],1
"(248, 0, 248, 240, 0, 248)",[246 255 252],[241 255 252],[251. 255. 252.],1
"(0, 0, 0, 248, 248, 240)",[254 254 254],[252 252 240],[256. 256. 268.],6
"(0, 0, 0, 240, 248, 0)",[254 254 254],[243 246 254],[265. 262. 254.],1
"(240, 240, 240, 0, 248, 0)",[237 237 237],[255 251 255],[731. 735. 731.],5
"(0, 0, 0, 240, 240, 0)",[253 255 255],[243 243 255],[263. 267. 255.],1
"(232, 232, 232, 0, 248, 0)",[231 234 232],[253 252 254],[721. 728. 722.],3
"(0, 0, 248, 248, 248, 240)",[255 255 251],[251 250 240],[259. 260. 262.],1
"(224, 232, 232, 0, 248, 248)",[228 229 233],[255 250 249],[713. 720. 729.],1
"(240, 240, 240, 0, 248, 248)",[239 241 242],[255 250 249],[735. 744. 747.],4
"(232, 232, 232, 0, 0, 248)",[235 235 235],[254 255 251],[728. 727. 731.],3
"(232, 240, 240, 0, 0, 0)",[234 239 238],[255 255 255],[725. 735. 733.],2
"(0, 248, 248, 240, 240, 240)",[255 250 251],[242 242 242],[268. 258. 260.],1
"(216, 216, 224, 0, 0, 0)",[218 219 223],[255 255 255],[693. 695. 703.],1
"(232, 232, 232, 248, 0, 240)",[232 232 232],[249 255 243],[727. 721. 733.],1
"(248, 0, 0, 240, 240, 240)",[250 255 254],[242 238 243],[258. 272. 265.],6
"(248, 0, 0, 232, 224, 240)",[250 255 254],[236 228 239],[264. 282. 269.],1
"(0, 248, 0, 224, 224, 224)",[253 252 254],[226 228 228],[280. 276. 280.],2
"(248, 240, 248, 224, 224, 224)",[245 243 249],[226 228 228],[264. 258. 270.],1
"(232, 232, 232, 0, 248, 248)",[234 234 234],[255 250 249],[725. 730. 731.],2
"(0, 248, 0, 240, 240, 240)",[255 250 255],[241 240 242],[269. 260. 268.],2
"(240, 240, 248, 248, 248, 248)",[239 239 245],[248 248 248],[742. 742. 754.],1
"(232, 240, 224, 0, 0, 248)",[230 239 226],[255 255 251],[717. 735. 713.],1
"(0, 0, 0, 232, 240, 224)",[255 255 255],[230 239 226],[280. 271. 284.],3
"(240, 240, 232, 232, 232, 232)",[239 244 235],[234 233 229],[244. 255. 241.],1
"(248, 248, 248, 240, 240, 248)",[249 250 248],[243 238 247],[255. 262. 249.],1
"(0, 248, 248, 240, 240, 248)",[253 249 248],[243 238 247],[263. 260. 249.],1
"(0, 0, 0, 248, 240, 240)",[255 255 255],[246 244 243],[264. 266. 267.],2
"(240, 240, 232, 0, 0, 0)",[240 238 230],[255 255 255],[737. 733. 717.],4
